"id","nome","situacao","tipo_atraso","municipio","uf","cep","logradouro","bairro","termo_convenio","fim_da_vigencia_termo_convenio","situacao_do_termo_convenio","percentual_de_execucao","data_de_inicio","data_de_termino","data_final_ideal","tipo_do_projeto","tipo_de_ensino_modalidade","tipo_da_obra","valor_pactuado_pelo_fnde","percentual_pago"
1017617,"ESCOLA NOVA (POV. S. FERREIRA) - Barra de São Miguel - AL","Execução","Em relação à data de início + cronograma","Barra de São Miguel","AL","57180000","RUA PROJETADA A","Zona Rural","31489/2014","29/08/2018","Vigente",83.53,2015-02-26,2038-05-23,2015-09-24,"Espaço Educativo - 06 Salas","Educação Básica","Construção",1021139.48,80.0040352410987
1002402,"CRECHE MUNICIPAL TERRA NOVA - Terra Nova - BA","Inacabada","Em relação à data de início + cronograma","Terra Nova","BA","4427000","TRAVESSA DRº FLAVIO GODOFREDO PACHECO PEREIRA","CAIPE                                                                                               ","6121/2013","27/11/2017","Vencido",24.87,2014-01-02,2022-02-28,2014-07-01,"MI - Escola de Educação Infantil Tipo B","Educação Básica","Construção",1596559,50
19075,"CRECHE MUNICIPAL","Execução","Em relação à data de início + cronograma","Leandro Ferreira","MG","35657000","RUA JOSÉ CAMILO SEM NÚMERO","Centro                                                                                              ","10898/2014","18/09/2018","Vigente",30.39,2016-01-26,2021-01-24,2016-10-22,"Projeto 2 Convencional","Educação Básica","Construção",1201737.61,23.0024631172236
17663,"700133/11 - Escola de Educação Infantil C - Douradina/MS","Paralisada","Em relação à data de início + cronograma","Douradina","MS","79880000","Rua Projetada 6 – Loteamento Parque das Araras",NA,"700133/2011",NA,"Vigente",54.06,2014-11-21,2020-12-10,2015-05-20,"Escola de Educação Infantil Tipo C","Educação Básica","Construção",613737.78,NA
24320,"PAC 2 - CRECHE/PRÉ-ESCOLA  001","Paralisada","Em relação à data de início + cronograma","São Jerônimo da Serra","PR","86270000","Rua Augusto Lopes","Centro","2945/2012","02/03/2019","Vigente",73.77,2015-09-22,2020-04-30,2016-06-18,"Escola de Educação Infantil Tipo B","Educação Básica","Construção",1449891.76,59.4999993515723
1014160,"Escola Terra Nova - São Jerônimo da Serra - PR","Paralisada","Em relação à data de início + cronograma","São Jerônimo da Serra","PR","86275000","Rua Principal","Centro                                                                                              ","31471/2014","30/04/2018","Vigente",24.54,2015-04-27,2020-04-30,2015-11-23,"Espaço Educativo - 06 Salas","Educação Básica","Construção",912725.03,23.0000002993234
1017081,"Creche Ouro Verde","Paralisada","Em relação à data de início + cronograma","Santa Rita de Minas","MG","35326000","Rua Coronel Galdino Pires.","Ouro Verde                                                                                          ","10800/2014","31/08/2018","Vigente",2.14,2016-04-19,2020-04-07,2017-01-14,"Projeto 2 Convencional","Educação Básica","Construção",1201737.61,14.999999902641
18910,"Creche Leandro Bezerra","Execução","Em relação à data de início + cronograma","Caraúbas","RN","59780000","Rua Martinho Gomes de Moura","Leandro Bezerra","1450/2011","30/11/2018","Vigente",50.29,2012-02-17,2019-12-31,2012-11-13,"Escola de Educação Infantil Tipo B","Educação Básica","Construção",1331538.64,49.9999999399191
1009942,"Escola Municipal Viriato Correia - Itinga do Maranhão - MA","Paralisada","Em relação à data de início + cronograma","Itinga do Maranhão","MA","65939000","Rua Bandeirantes","Povoado Cajuapara                                                                                   ","22573/2014","28/04/2018","Vigente",4.99,2014-04-22,2019-12-31,2015-05-17,"Espaço Educativo - 12 Salas","Educação Básica","Construção",3533633.28,14.9999999332132
25552,"PAC 2 - CRECHE/PRÉ-ESCOLA  001","Execução","Em relação à data de início + cronograma","Gandu","BA","45450000","RUA PRINCIPAL ","Bairro Vitoria   -  VITÓRIA                                                                         ","2516/2012","30/09/2018","Vigente",0,2012-06-29,2019-12-31,2013-03-26,"Escola de Educação Infantil Tipo B","Educação Básica","Construção",1443891.68,39.9999998199311
